dataset,eval_type,model,summary_path,action_f1,action_precision,action_recall,all_f1,all_precision,all_recall,edge_f1,edge_precision,edge_recall,goal_evaluation.action_goal,goal_evaluation.relation_goal,goal_evaluation.state_goal,goal_evaluation.task_success_rate,goal_evaluation.total_goal,node_f1,node_precision,node_recall,trajectory_evaluation.execution_success_rate,trajectory_evaluation.grammar_error.hallucination,trajectory_evaluation.grammar_error.parsing,trajectory_evaluation.grammar_error.predicate_argument_number,trajectory_evaluation.runtime_error.additional_step,trajectory_evaluation.runtime_error.affordance_error,trajectory_evaluation.runtime_error.missing_step,trajectory_evaluation.runtime_error.wrong_order
virtualhome,goal_interpretation,o1-preview-2024-09-12,output/virtualhome/evaluate_results/goal_interpretation/o1-preview-2024-09-12/summary.json,39.4619,26.0355,81.4815,42.7462,31.7547,65.375,52.2472,44.9275,62.4161,,,,,,38.4615,28.2369,60.2941,,,,,,,,
virtualhome,action_sequencing,claude-3-5-sonnet-20240620,output/virtualhome/evaluate_results/action_sequencing/claude-3-5-sonnet-20240620/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,claude-3-haiku-20240307,output/virtualhome/evaluate_results/action_sequencing/claude-3-haiku-20240307/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,claude-3-opus-20240229,output/virtualhome/evaluate_results/action_sequencing/claude-3-opus-20240229/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,claude-3-sonnet-2024022,output/virtualhome/evaluate_results/action_sequencing/claude-3-sonnet-2024022/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,cohere-command-r,output/virtualhome/evaluate_results/action_sequencing/cohere-command-r/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.3279,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,cohere-command-r-plus,output/virtualhome/evaluate_results/action_sequencing/cohere-command-r-plus/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gemini-1.0-pro,output/virtualhome/evaluate_results/action_sequencing/gemini-1.0-pro/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.3279,99.6721,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gemini-1.5-flash-preview-0514,output/virtualhome/evaluate_results/action_sequencing/gemini-1.5-flash-preview-0514/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gemini-1.5-pro-preview-0409,output/virtualhome/evaluate_results/action_sequencing/gemini-1.5-pro-preview-0409/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gold_oracle,output/virtualhome/evaluate_results/action_sequencing/gold_oracle/summary.json,,,,,,,,,,0.0,7.2222,5.036,2.623,4.4554,,,,89.2,8.8525,0.0,0.0,0.0,0.0,1.6393,0.3279
virtualhome,action_sequencing,gpt-3.5-turbo-0125,output/virtualhome/evaluate_results/action_sequencing/gpt-3.5-turbo-0125/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gpt-4-turbo-2024-04-09,output/virtualhome/evaluate_results/action_sequencing/gpt-4-turbo-2024-04-09/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,gpt-4o-2024-05-13,output/virtualhome/evaluate_results/action_sequencing/gpt-4o-2024-05-13/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,llama-3-70b-chat,output/virtualhome/evaluate_results/action_sequencing/llama-3-70b-chat/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,llama-3-8b-chat,output/virtualhome/evaluate_results/action_sequencing/llama-3-8b-chat/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,mistral-large-2402,output/virtualhome/evaluate_results/action_sequencing/mistral-large-2402/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,mixtral-8x22b-instruct-v0.1,output/virtualhome/evaluate_results/action_sequencing/mixtral-8x22b-instruct-v0.1/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,o1-mini-2024-09-12,output/virtualhome/evaluate_results/action_sequencing/o1-mini-2024-09-12/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
virtualhome,action_sequencing,o1-preview-2024-09-12,output/virtualhome/evaluate_results/action_sequencing/o1-preview-2024-09-12/summary.json,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,100.9836,0.0,0.0,0.0,0.0,0.0
