model,task,file_id,goal_f1,task_success,goal_success,execution_success,failure_type,raw_failure_text
gpt-4o-2024-05-13,Watch TV,197_2,0.6,,,,relation_grounding,"2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:24 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,74_1,0.6,,,,relation_grounding,"2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:26 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Write an email,430_1,0.5714,,,,none,
gpt-4o-2024-05-13,Write an email,824_1,0.5714,,,,none,
gpt-4o-2024-05-13,Go to toilet,158_1,0.5714,,,,other,2026-04-22 14:40:08 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 158_1 did not pass gold test
gpt-4o-2024-05-13,Go to sleep,269_2,0.5714,,,,none,
gpt-4o-2024-05-13,Drink,181_2,0.5714,,,,none,
gpt-4o-2024-05-13,Drink,850_2,0.5714,,,,none,
gpt-4o-2024-05-13,Read book,208_2,0.5714,,,,none,
gpt-4o-2024-05-13,Read book,484_1,0.5714,,,,none,
gpt-4o-2024-05-13,Read book,628_1,0.5714,,,,none,
gpt-4o-2024-05-13,Relax on sofa,268_1,0.5714,,,,none,
gpt-4o-2024-05-13,Relax on sofa,387_1,0.5714,,,,none,
gpt-4o-2024-05-13,Relax on sofa,390_2,0.5714,,,,none,
gpt-4o-2024-05-13,Relax on sofa,674_2,0.5714,,,,none,
gpt-4o-2024-05-13,Relax on sofa,932_2,0.5714,,,,none,
gpt-4o-2024-05-13,Wash dishes by hand,349_1,0.5714,,,,none,
gpt-4o-2024-05-13,Wash dishes by hand,429_2,0.5714,,,,planning_order,2026-04-22 14:40:45 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:45 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1
gpt-4o-2024-05-13,Browse internet,7_1,0.5455,,,,other,2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 7_1 did not pass gold test
gpt-4o-2024-05-13,Watch TV,1057_1,0.5455,,,,relation_grounding,"2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:24 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,21_2,0.5455,,,,relation_grounding,"2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:24 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,307_2,0.5455,,,,relation_grounding,"2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:25 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,329_1,0.5455,,,,relation_grounding,"2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:25 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Set up table,419_2,0.5263,,,,other,2026-04-22 14:40:43 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 419_2 did not pass gold test
gpt-4o-2024-05-13,Turn on light,11_1,0.5,,,,none,
gpt-4o-2024-05-13,Turn on light,180_2,0.5,,,,relation_grounding,"2026-04-22 14:40:01 - virtualhome_eval.simulation.evolving_graph.execution - Check walk failed: <dining_room> (201) | 2026-04-22 14:40:01 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:01 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:01 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 245, 'class_name': 'light', 'state': 'ON'}"
gpt-4o-2024-05-13,Turn on light,432_1,0.5,,,,none,
gpt-4o-2024-05-13,Turn on light,616_1,0.5,,,,none,
gpt-4o-2024-05-13,Turn on light,705_1,0.5,,,,none,
gpt-4o-2024-05-13,Turn on light,835_2,0.5,,,,none,
gpt-4o-2024-05-13,Brush teeth,491_2,0.5,,,,other,2026-04-22 14:40:05 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 491_2 did not pass gold test
gpt-4o-2024-05-13,Put groceries in Fridge,298_2,0.5,,,,none,
gpt-4o-2024-05-13,Work,373_1,0.5,,,,planning_order,"2026-04-22 14:40:10 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:10 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:10 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 417, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Work,503_1,0.5,,,,none,
gpt-4o-2024-05-13,Work,670_2,0.5,,,,none,
gpt-4o-2024-05-13,Work,819_1,0.5,,,,none,
gpt-4o-2024-05-13,Wash dishes with dishwasher,201_1,0.5,,,,other,2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 201_1 did not pass gold test
gpt-4o-2024-05-13,Go to sleep,1027_2,0.5,,,,relation_grounding,"2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:13 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 65, 'class_name': 'character', 'state': 'LYING'} | 2026-04-22 14:40:13 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'ON', 'to_id': 105}"
gpt-4o-2024-05-13,Pet cat,1035_1,0.5,,,,none,
gpt-4o-2024-05-13,Pet cat,113_2,0.5,,,,none,
gpt-4o-2024-05-13,Pet cat,381_1,0.5,,,,none,
gpt-4o-2024-05-13,Browse internet,384_1,0.5,,,,other,2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 384_1 did not pass gold test
gpt-4o-2024-05-13,Listen to music,161_1,0.5,,,,none,
gpt-4o-2024-05-13,Listen to music,385_2,0.5,,,,none,
gpt-4o-2024-05-13,Listen to music,737_1,0.5,,,,none,
gpt-4o-2024-05-13,Listen to music,910_2,0.5,,,,none,
gpt-4o-2024-05-13,Watch TV,170_1,0.5,,,,relation_grounding,"2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:24 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:24 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,459_1,0.5,,,,relation_grounding,"2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:26 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,684_2,0.5,,,,relation_grounding,"2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:26 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:26 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Watch TV,98_1,0.5,,,,relation_grounding,"2026-04-22 14:40:27 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:27 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:27 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Drink,1064_1,0.5,,,,none,
gpt-4o-2024-05-13,Drink,26_1,0.5,,,,relation_grounding,"2026-04-22 14:40:28 - virtualhome_eval.simulation.evolving_graph.execution - Check walk failed: <cup> (1000) | 2026-04-22 14:40:28 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:28 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:28 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1000}"
gpt-4o-2024-05-13,Drink,600_1,0.5,,,,none,
gpt-4o-2024-05-13,Drink,688_1,0.5,,,,other,2026-04-22 14:40:30 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 688_1 did not pass gold test
gpt-4o-2024-05-13,Drink,788_1,0.5,,,,none,
gpt-4o-2024-05-13,Read book,1073_1,0.5,,,,none,
gpt-4o-2024-05-13,Read book,57_1,0.5,,,,none,
gpt-4o-2024-05-13,Relax on sofa,449_1,0.5,,,,none,
gpt-4o-2024-05-13,Pick up phone,287_2,0.5,,,,none,
gpt-4o-2024-05-13,Pick up phone,360_1,0.5,,,,none,
gpt-4o-2024-05-13,Pick up phone,431_1,0.5,,,,relation_grounding,"2026-04-22 14:40:41 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:41 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:41 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'HOLDS_RH', 'to_id': 1000}"
gpt-4o-2024-05-13,Pick up phone,482_2,0.5,,,,none,
gpt-4o-2024-05-13,Make coffee,721_2,0.5,,,,other,2026-04-22 14:40:43 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 721_2 did not pass gold test
gpt-4o-2024-05-13,Wash dishes by hand,594_2,0.5,,,,planning_order,2026-04-22 14:40:46 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:46 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1
gpt-4o-2024-05-13,Wash clothes,27_2,0.4615,,,,other,2026-04-22 14:40:00 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 27_2 did not pass gold test
gpt-4o-2024-05-13,Write an email,407_1,0.4444,,,,none,
gpt-4o-2024-05-13,Write an email,481_2,0.4444,,,,planning_order,2026-04-22 14:40:06 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: ADDITIONAL_STEP | 2026-04-22 14:40:06 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: ADDITIONAL_STEP
gpt-4o-2024-05-13,Write an email,622_1,0.4444,,,,none,
gpt-4o-2024-05-13,Write an email,87_2,0.4444,,,,none,
gpt-4o-2024-05-13,Go to toilet,496_1,0.4444,,,,other,2026-04-22 14:40:09 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 496_1 did not pass gold test
gpt-4o-2024-05-13,Wash dishes with dishwasher,650_2,0.4444,,,,other,2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 650_2 did not pass gold test
gpt-4o-2024-05-13,Go to sleep,244_2,0.4444,,,,relation_grounding,"2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:14 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 65, 'class_name': 'character', 'state': 'LYING'} | 2026-04-22 14:40:14 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'ON', 'to_id': 105}"
gpt-4o-2024-05-13,Browse internet,540_1,0.4444,,,,other,2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 540_1 did not pass gold test
gpt-4o-2024-05-13,Drink,286_2,0.4444,,,,none,
gpt-4o-2024-05-13,Read book,821_1,0.4444,,,,none,
gpt-4o-2024-05-13,Wash clothes,417_1,0.4,,,,other,2026-04-22 14:40:00 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 417_1 did not pass gold test
gpt-4o-2024-05-13,Turn on light,205_1,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,222_1,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,310_1,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,345_1,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,394_2,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,511_1,0.4,,,,none,
gpt-4o-2024-05-13,Turn on light,604_2,0.4,,,,planning_order,"2026-04-22 14:40:03 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: ADDITIONAL_STEP | 2026-04-22 14:40:03 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 1000, 'class_name': 'light', 'state': 'ON'}"
gpt-4o-2024-05-13,Turn on light,737_2,0.4,,,,none,
gpt-4o-2024-05-13,Work,198_1,0.4,,,,none,
gpt-4o-2024-05-13,Work,232_1,0.4,,,,none,
gpt-4o-2024-05-13,Work,453_2,0.4,,,,planning_order,"2026-04-22 14:40:11 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:11 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:11 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 417, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Work,910_1,0.4,,,,planning_order,"2026-04-22 14:40:12 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:12 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:12 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 417, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Work,962_1,0.4,,,,planning_order,"2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:13 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 417, 'class_name': 'computer', 'state': 'ON'}"
gpt-4o-2024-05-13,Wash dishes with dishwasher,190_1,0.4,,,,other,2026-04-22 14:40:13 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Program 190_1 did not pass gold test
gpt-4o-2024-05-13,Wash hands,813_2,0.4,,,,planning_order,2026-04-22 14:40:17 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:17 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1
gpt-4o-2024-05-13,Wash hands,928_2,0.4,,,,planning_order,2026-04-22 14:40:17 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:17 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1
gpt-4o-2024-05-13,Pet cat,12_2,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,242_1,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,279_2,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,287_1,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,292_1,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,38_1,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,479_2,0.4,,,,none,
gpt-4o-2024-05-13,Pet cat,612_1,0.4,,,,none,
gpt-4o-2024-05-13,Browse internet,60_1,0.4,,,,relation_grounding,"2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:21 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:21 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 1000}"
gpt-4o-2024-05-13,Listen to music,263_1,0.4,,,,none,
gpt-4o-2024-05-13,Listen to music,403_1,0.4,,,,none,
gpt-4o-2024-05-13,Watch TV,377_2,0.4,,,,relation_grounding,"2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: MISSING_STEP | 2026-04-22 14:40:25 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=1 | 2026-04-22 14:40:25 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 65, 'relation_type': 'FACING', 'to_id': 410}"
gpt-4o-2024-05-13,Read book,192_1,0.4,,,,none,
gpt-4o-2024-05-13,Cook some food,755_2,0.4,,,,relation_grounding,"2026-04-22 14:40:35 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - Encounter error: AFFORDANCE_ERROR | 2026-04-22 14:40:35 - virtualhome_eval.evaluation.action_sequencing.scripts.evaluate_results - failed_error_code=2 | 2026-04-22 14:40:35 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not matched: {'id': 295, 'class_name': 'oven', 'state': 'ON'} | 2026-04-22 14:40:35 - virtualhome_eval.simulation.evolving_graph.eval_utils - GOAL FAIL! Not found: {'from_id': 1003, 'relation_type': 'ON', 'to_id': 295}"
gpt-4o-2024-05-13,Relax on sofa,438_1,0.4,,,,none,
